id,user_id,order_status,payment_status,payment_method,currency,subtotal,discount_amount,shipping_amount,total_amount,shipping_country,shipping_city,shipping_postcode,device_type,acquisition_channel,ordered_at,delivered_at,cancelled_at
1,250,shipped,pending,buy_now_pay_later,GBP,1400.3,141.95,18.49,1276.84,United Kingdom,London,H6 3XW,mobile,referral,2024-11-30 07:11:39,,
2,116,cancelled,pending,card,USD,0.0,0.0,0.0,0.0,United States,Austin,96363,tablet,email,2025-10-25 12:36:29,,2025-10-25 23:36:29
3,85,returned,refunded,buy_now_pay_later,EUR,292.33,2.98,9.91,299.26,Germany,Stuttgart,30758,desktop,email,2025-03-17 15:51:37,2025-03-21 15:51:37,
4,412,delivered,paid,google_pay,EUR,597.69,31.84,22.14,587.99,Netherlands,Eindhoven,4485 BU,tablet,organic_search,2023-09-21 19:18:06,2023-10-02 19:18:06,
5,475,cancelled,failed,google_pay,CAD,0.0,0.0,0.0,0.0,Canada,Calgary,J0R 5G4,mobile,social,2025-10-18 10:35:04,,2025-10-19 09:35:04
6,183,delivered,paid,paypal,GBP,813.11,1.8,12.92,824.23,United Kingdom,Manchester,D7 6LU,mobile,direct,2024-02-15 21:40:19,2024-02-20 21:40:19,
7,204,delivered,paid,paypal,USD,1542.35,96.45,14.12,1460.02,United States,Austin,25495,desktop,direct,2025-12-07 13:09:33,2025-12-14 13:09:33,
8,272,delivered,paid,google_pay,EUR,1317.72,144.74,4.2,1177.18,Netherlands,Eindhoven,5558 ZM,desktop,email,2025-06-12 00:04:01,2025-06-25 00:04:01,
9,49,delivered,paid,google_pay,CAD,850.8,70.45,0.95,781.3,Canada,Calgary,X6Y 7H7,mobile,social,2025-06-09 14:33:00,2025-06-21 14:33:00,
10,57,cancelled,pending,paypal,USD,0.0,0.0,0.0,0.0,United States,Los Angeles,36130,tablet,display_ads,2024-01-30 17:46:13,,2024-01-31 19:46:13
11,62,returned,refunded,paypal,EUR,137.1,13.71,15.35,138.74,Spain,Madrid,38411,mobile,display_ads,2024-04-25 01:43:06,2024-04-30 01:43:06,
12,488,delivered,paid,apple_pay,EUR,575.21,11.88,12.87,576.2,France,Paris,14946,mobile,email,2024-12-08 13:19:48,2024-12-19 13:19:48,
13,142,processing,paid,paypal,EUR,1337.67,143.52,14.22,1208.37,Germany,Hamburg,73736,mobile,direct,2023-02-16 05:12:13,,
14,87,cancelled,failed,paypal,EUR,0.0,0.0,0.0,0.0,Spain,Barcelona,39935,desktop,email,2025-11-14 09:13:18,,2025-11-14 17:13:18
15,472,delivered,paid,paypal,GBP,195.51,2.49,12.22,205.24,United Kingdom,Birmingham,S5 4MB,tablet,email,2024-09-01 21:11:44,2024-09-07 21:11:44,
16,176,delivered,paid,google_pay,AUD,1293.09,98.37,8.08,1202.8,Netherlands,Rotterdam,6240 BF,desktop,organic_search,2025-06-23 21:18:00,2025-06-29 21:18:00,
17,336,delivered,paid,google_pay,AUD,571.12,86.6,12.93,497.45,Canada,Montreal,M1E 0Y2,desktop,referral,2024-07-24 12:55:02,2024-07-30 12:55:02,
18,378,delivered,paid,apple_pay,USD,487.93,33.66,17.53,471.8,United States,Chicago,56548,desktop,paid_search,2025-12-29 00:04:07,2026-01-01 00:04:07,
19,24,returned,refunded,paypal,GBP,568.16,105.17,1.5,464.49,United Kingdom,London,X9 1CH,desktop,affiliate,2025-03-15 05:11:00,2025-03-25 05:11:00,
20,495,delivered,paid,paypal,EUR,101.97,4.89,16.51,113.59,Germany,Munich,19390,mobile,referral,2024-02-17 00:38:24,2024-02-23 00:38:24,
21,449,cancelled,pending,card,EUR,0.0,0.0,0.0,0.0,Netherlands,The Hague,6981 NJ,mobile,organic_search,2025-10-16 17:06:15,,2025-10-16 22:06:15
22,80,cancelled,pending,paypal,AUD,0.0,0.0,0.0,0.0,United States,Boston,34928,mobile,display_ads,2023-08-30 04:10:10,,2023-08-30 07:10:10
23,250,processing,paid,card,GBP,343.55,64.48,11.52,290.59,United Kingdom,London,H6 3XW,desktop,direct,2024-04-07 03:54:53,,
24,3,delivered,paid,card,EUR,1760.12,347.91,13.66,1425.87,Germany,Frankfurt,87236,desktop,email,2025-10-20 17:18:16,2025-11-02 17:18:16,
25,149,cancelled,failed,paypal,EUR,0.0,0.0,0.0,0.0,Germany,Frankfurt,55820,desktop,direct,2023-02-22 02:57:06,,2023-02-22 05:57:06
26,475,processing,pending,apple_pay,CAD,1748.66,22.52,29.4,1755.54,Canada,Calgary,J0R 5G4,desktop,referral,2023-03-08 11:30:46,,
27,319,delivered,paid,buy_now_pay_later,EUR,539.12,18.01,26.95,548.06,France,Marseille,20198,desktop,organic_search,2024-08-06 19:41:12,2024-08-12 19:41:12,
28,409,cancelled,failed,apple_pay,EUR,0.0,0.0,0.0,0.0,United Kingdom,Bristol,N5 9GR,desktop,social,2024-01-12 11:29:03,,2024-01-13 04:29:03
29,96,returned,refunded,google_pay,EUR,137.18,6.36,14.53,145.35,France,Lyon,32946,mobile,affiliate,2024-09-05 08:40:13,2024-09-12 08:40:13,
30,86,returned,refunded,paypal,EUR,163.26,16.02,14.59,161.83,Spain,Madrid,52448,desktop,direct,2023-02-06 19:15:48,2023-02-12 19:15:48,
31,407,cancelled,failed,card,EUR,0.0,0.0,0.0,0.0,Spain,Valencia,33405,mobile,display_ads,2025-01-07 03:18:23,,2025-01-07 08:18:23
32,43,delivered,paid,card,AUD,1212.54,114.55,0.62,1098.61,Australia,Adelaide,4533,mobile,organic_search,2025-08-06 23:50:47,2025-08-08 23:50:47,
33,63,delivered,paid,paypal,AUD,1878.12,281.55,23.77,1620.34,United Kingdom,Edinburgh,L2 4ES,mobile,affiliate,2025-12-08 06:12:12,2025-12-10 06:12:12,
34,405,delivered,paid,paypal,GBP,498.96,67.8,8.02,439.18,United Kingdom,Birmingham,G6 4PX,mobile,paid_search,2025-09-09 19:44:05,2025-09-19 19:44:05,
35,275,delivered,paid,google_pay,EUR,296.54,67.62,0.72,229.64,Spain,Madrid,38036,desktop,social,2023-02-28 21:52:45,2023-03-08 21:52:45,
36,109,cancelled,pending,card,EUR,0.0,0.0,0.0,0.0,Germany,Berlin,46937,desktop,referral,2025-09-27 11:07:34,,2025-09-27 22:07:34
37,57,processing,paid,card,USD,1792.74,270.93,5.34,1527.15,United States,Los Angeles,36130,mobile,direct,2025-12-05 07:50:59,,
38,448,delivered,paid,apple_pay,EUR,706.55,18.36,27.49,715.68,France,Bordeaux,44452,desktop,paid_search,2025-12-11 05:35:07,2025-12-23 05:35:07,
39,396,processing,paid,paypal,USD,1558.9,57.13,4.43,1506.2,United States,New York,97679,tablet,paid_search,2025-10-12 07:41:10,,
40,52,shipped,paid,apple_pay,EUR,302.17,24.4,3.83,281.6,Germany,Frankfurt,61049,mobile,affiliate,2023-10-27 00:36:31,,
41,356,cancelled,failed,apple_pay,CAD,0.0,0.0,0.0,0.0,Netherlands,Utrecht,9144 UU,mobile,email,2025-06-02 16:14:57,,2025-06-04 10:14:57
42,192,cancelled,failed,buy_now_pay_later,AUD,0.0,0.0,0.0,0.0,Australia,Melbourne,7654,desktop,email,2025-10-12 21:41:19,,2025-10-14 18:41:19
43,497,delivered,paid,google_pay,EUR,1915.87,441.08,1.79,1476.58,Spain,Bilbao,19556,mobile,direct,2024-10-14 19:07:09,2024-10-21 19:07:09,
44,149,returned,refunded,buy_now_pay_later,EUR,777.88,142.03,4.85,640.7,Germany,Frankfurt,55820,desktop,direct,2022-08-12 21:56:15,2022-08-17 21:56:15,
45,191,cancelled,pending,google_pay,AUD,0.0,0.0,0.0,0.0,Australia,Adelaide,5966,mobile,paid_search,2022-10-02 06:32:17,,2022-10-02 10:32:17
46,239,processing,paid,card,EUR,306.57,10.83,7.35,303.09,Germany,Stuttgart,19634,desktop,direct,2024-07-11 15:09:10,,
47,233,cancelled,pending,apple_pay,GBP,0.0,0.0,0.0,0.0,United Kingdom,Glasgow,N7 9SB,desktop,organic_search,2022-08-06 15:46:07,,2022-08-07 18:46:07
48,147,delivered,paid,card,AUD,1214.28,52.69,4.81,1166.4,Australia,Sydney,7252,mobile,affiliate,2025-04-04 16:24:42,2025-04-12 16:24:42,
49,281,delivered,paid,buy_now_pay_later,EUR,1011.22,179.33,12.71,844.6,Netherlands,Eindhoven,8248 GC,desktop,display_ads,2025-07-12 14:40:52,2025-07-16 14:40:52,
50,488,cancelled,failed,google_pay,EUR,0.0,0.0,0.0,0.0,France,Paris,14946,mobile,paid_search,2025-03-09 12:18:56,,2025-03-10 03:18:56
51,406,delivered,paid,google_pay,USD,1657.1,68.28,24.1,1612.92,United States,Boston,81939,desktop,paid_search,2025-12-03 22:42:28,2025-12-15 22:42:28,
52,37,returned,refunded,apple_pay,EUR,37.02,2.09,10.83,45.76,France,Lyon,31299,desktop,social,2025-01-28 02:32:26,2025-01-31 02:32:26,
53,87,cancelled,failed,card,EUR,0.0,0.0,0.0,0.0,Spain,Barcelona,39935,mobile,organic_search,2023-02-03 18:10:26,,2023-02-04 12:10:26
54,286,delivered,paid,apple_pay,USD,200.02,15.43,29.42,214.01,United States,New York,62163,desktop,email,2025-10-29 21:01:56,2025-11-12 21:01:56,
55,162,cancelled,failed,paypal,USD,0.0,0.0,0.0,0.0,United States,New York,97973,mobile,paid_search,2025-04-16 11:18:42,,2025-04-17 09:18:42
56,252,delivered,paid,buy_now_pay_later,EUR,1595.2,190.21,26.06,1431.05,Netherlands,Utrecht,9199 EM,desktop,affiliate,2025-04-19 00:20:17,2025-04-21 00:20:17,
57,37,delivered,paid,paypal,EUR,1770.54,357.42,19.63,1432.75,France,Lyon,31299,tablet,referral,2025-03-04 11:11:25,2025-03-18 11:11:25,
58,217,delivered,paid,apple_pay,EUR,1252.59,294.4,1.2,959.39,Germany,Frankfurt,49387,desktop,email,2023-11-26 16:21:49,2023-12-09 16:21:49,
59,499,delivered,paid,paypal,EUR,1140.3,283.48,2.92,859.74,Germany,Munich,81620,tablet,paid_search,2025-10-14 08:57:16,2025-10-16 08:57:16,
60,250,delivered,paid,apple_pay,GBP,335.52,23.5,10.9,322.92,United Kingdom,London,H6 3XW,mobile,affiliate,2023-12-08 12:27:57,2023-12-11 12:27:57,
61,126,shipped,paid,google_pay,EUR,1305.83,45.85,3.72,1263.7,France,Lyon,90981,tablet,display_ads,2024-01-06 04:26:49,,
62,203,delivered,paid,buy_now_pay_later,EUR,1692.0,402.72,11.21,1300.49,Germany,Frankfurt,44995,mobile,organic_search,2024-05-10 11:31:29,2024-05-22 11:31:29,
63,317,delivered,paid,paypal,CAD,1403.99,196.84,4.64,1211.79,Canada,Vancouver,H6M 4G2,desktop,display_ads,2024-09-27 05:05:37,2024-09-30 05:05:37,
64,427,delivered,paid,google_pay,EUR,1343.26,117.18,14.05,1240.13,Spain,Madrid,15624,desktop,paid_search,2022-12-13 11:57:17,2022-12-23 11:57:17,
65,465,returned,refunded,paypal,EUR,330.19,4.26,6.85,332.78,Netherlands,Utrecht,5094 FZ,mobile,paid_search,2025-03-01 03:27:41,2025-03-10 03:27:41,
66,140,delivered,paid,google_pay,EUR,303.84,16.22,17.05,304.67,France,Marseille,20682,desktop,referral,2022-05-15 20:55:59,2022-05-26 20:55:59,
67,396,delivered,paid,paypal,USD,1738.02,413.93,20.51,1344.6,United States,New York,97679,desktop,direct,2024-12-14 17:10:08,2024-12-20 17:10:08,
68,36,delivered,paid,google_pay,USD,1744.51,228.87,20.09,1535.73,United States,Chicago,37535,desktop,display_ads,2024-11-06 12:19:59,2024-11-12 12:19:59,
69,178,delivered,paid,paypal,EUR,708.31,74.21,14.26,648.36,France,Marseille,77499,tablet,display_ads,2025-03-16 00:26:18,2025-03-29 00:26:18,
70,183,cancelled,failed,card,GBP,0.0,0.0,0.0,0.0,United Kingdom,Manchester,D7 6LU,mobile,direct,2025-08-03 02:12:21,,2025-08-03 07:12:21
71,172,processing,paid,apple_pay,EUR,43.16,9.67,28.35,61.84,France,Marseille,31581,mobile,display_ads,2025-11-19 11:34:46,,
72,129,delivered,paid,google_pay,AUD,1887.5,404.52,19.03,1502.01,United Kingdom,London,G4 7UF,mobile,email,2025-02-04 19:27:24,2025-02-16 19:27:24,
73,180,shipped,paid,buy_now_pay_later,CAD,1910.88,176.88,10.91,1744.91,Canada,Vancouver,H7X 7V4,mobile,paid_search,2025-06-09 12:20:47,,
74,359,shipped,paid,google_pay,EUR,829.62,73.05,16.27,772.84,France,Paris,58049,desktop,direct,2024-10-05 01:10:50,,
75,223,delivered,paid,buy_now_pay_later,EUR,337.87,36.82,8.55,309.6,Spain,Barcelona,49610,desktop,social,2024-05-01 00:34:57,2024-05-13 00:34:57,
76,360,processing,paid,card,USD,1990.8,401.12,3.11,1592.79,United States,Austin,24170,desktop,affiliate,2025-12-27 23:30:12,,
77,382,processing,paid,card,EUR,1272.55,160.14,24.18,1136.59,Netherlands,Utrecht,5067 JN,desktop,affiliate,2025-03-31 18:21:31,,
78,279,delivered,paid,google_pay,EUR,1901.84,166.7,23.81,1758.95,Netherlands,Amsterdam,2678 DL,mobile,display_ads,2024-05-16 21:50:27,2024-05-25 21:50:27,
79,5,returned,refunded,buy_now_pay_later,EUR,237.63,41.8,5.29,201.12,Spain,Bilbao,18180,desktop,display_ads,2025-01-08 01:26:08,2025-01-16 01:26:08,
80,18,delivered,paid,apple_pay,EUR,1683.93,218.47,22.24,1487.7,Germany,Stuttgart,50857,tablet,display_ads,2024-06-15 00:17:53,2024-06-22 00:17:53,
81,116,delivered,paid,google_pay,USD,1659.67,332.49,17.34,1344.52,Netherlands,Rotterdam,7604 LT,desktop,email,2025-03-27 02:14:06,2025-03-31 02:14:06,
82,42,delivered,paid,card,EUR,1268.41,248.7,25.29,1045.0,France,Marseille,36707,desktop,organic_search,2025-05-29 13:51:22,2025-06-10 13:51:22,
83,214,returned,refunded,paypal,USD,36.84,5.21,18.41,50.04,United States,Los Angeles,37011,desktop,direct,2024-09-03 22:52:20,2024-09-06 22:52:20,
84,491,cancelled,failed,apple_pay,CAD,0.0,0.0,0.0,0.0,Canada,Montreal,S6E 3A6,desktop,email,2024-09-12 14:30:02,,2024-09-13 06:30:02
85,272,cancelled,pending,google_pay,EUR,0.0,0.0,0.0,0.0,Netherlands,Eindhoven,5558 ZM,desktop,direct,2025-05-24 04:26:17,,2025-05-25 23:26:17
86,318,delivered,paid,buy_now_pay_later,USD,258.53,9.17,7.86,257.22,United States,Los Angeles,88956,mobile,referral,2024-02-25 07:43:15,2024-02-29 07:43:15,
87,464,delivered,paid,google_pay,EUR,1593.95,164.87,14.6,1443.68,Spain,Valencia,10598,mobile,display_ads,2025-02-08 20:28:14,2025-02-20 20:28:14,
